id,Unnamed: 1,source,Unnamed: 3,target,Unnamed: 5,description,Unnamed: 7,weight,Unnamed: 9,rank
,SPATIAL CLUSTERING,,UNIVERSITY OF TEXAS LIBRARIES,,"The University of Texas Libraries accessed publications related to Spatial Clustering.<SEP>""The University of Texas Libraries provided access to resources relating to Spatial Clustering research.""<SEP>""The University of Texas Libraries provides access to academic resources"," including the materials discussing Spatial Clustering.""",,19.0,,125.0
,SPATIAL CLUSTER ANALYSIS,,UNIVERSITY OF TEXAS LIBRARIES,,The University Of Texas Libraries provides academic access to research documents on Spatial Cluster Analysis.,,6.0,,94.0,
,SCOTTISH BIRTH ABNORMALITIES,,SPATIAL CLUSTERING,,Spatial clustering indicates high SMRs in urban areas like Dundee and Perth during the Scottish Birth Abnormalities analysis.,,9.0,,67.0,
,CUZICK AND EDWARDS,,SPATIAL CLUSTERING,,Cuzick and Edwards are contributors to or are associated with the development or application of SPATIAL CLUSTERING techniques in their research.,,8.0,,63.0,
,DBSCAN,,SPATIAL CLUSTERING,,DBSCAN is a method often used in spatial clustering to detect dense and meaningful clusters in the data.,,8.0,,60.0,
,SPATIAL CLUSTERING,,THE EXPERT,,The Expert has significant experience in developing and deploying spatial clustering solutions across various domains.,,10.0,,56.0,
,SPATIAL CLUSTERING,,STUDY ON CHILDHOOD LEUKEMIA AND LYMPHOMA,,Spatial clustering methods were employed in the study to analyze and identify patterns in leukemia and lymphoma cases.,,10.0,,56.0,
,ANDERSON AND TITTERINGTON,,SPATIAL CLUSTERING,,Anderson and Titterington extended methods for coping with non-uniform distributions to two-dimensional models of spatial clustering.,,9.0,,56.0,
,CLUSTERING,,SPATIAL CLUSTERING,,"Spatial clustering is a specialized application of the general concept of clustering, focusing on geographic data.",,9.0,,54.0,
,ENVIRONMENT AND HEALTH STUDIES,,SPATIAL CLUSTERING,,Spatial clustering was used as a method to detect patterns of environmental hazards and health-related issues.,,7.0,,54.0,
,CHILDHOOD LYMPHOMA,,SPATIAL CLUSTERING,,The study investigates the presence of Spatial Clustering in cases of childhood lymphoma.,,8.0,,53.0,
,RUN LENGTH TEST,,SPATIAL CLUSTERING,,Run Length Test is described as a method used within the broader concept of Spatial Clustering for statistical analysis of clusters.,,8.0,,53.0,
,DIMENSIONALITY REDUCTION,,SPATIAL CLUSTERING,,Dimensionality reduction may be applied in spatial clustering to simplify the analysis while preserving meaningful patterns.,,7.0,,53.0,
,ECOLOGICAL CLUSTERING,,SPATIAL CLUSTERING,,Ecological Clustering is a specific application of Spatial Clustering for distinguishing ecological regions.,,9.0,,52.0,
,MORAN'S FORMULA,,SPATIAL CLUSTERING,,Moran's Formula is adapted or used for analyzing variance and expectations in spatial clustering patterns.,,9.0,,52.0,
,AIJ,,SPATIAL CLUSTERING,,The aij coefficients play a critical role in the computation of permutational distributions in Spatial Clustering.,,9.0,,52.0,
,KRIGING,,SPATIAL CLUSTERING,,Kriging is one of the techniques used in spatial clustering to model spatial processes and identify patterns.,,8.0,,52.0,
,RANDOM EFFECT MODELS,,SPATIAL CLUSTERING,,Random effect models are used as a basis in spatial clustering to explain variations in spatial data.,,8.0,,52.0,
,LEBESGUE MEASURE,,SPATIAL CLUSTERING,,Lebesgue Measure is used in the context of mathematical evaluations relevant to spatial clustering.,,8.0,,52.0,
,1990,,SPATIAL CLUSTERING,,"Spatial Clustering was a concept associated with theoretical discussions or studies in 1990.<SEP>""Spatial Clustering was discussed or studied in academic literature during 1990.""",,13.0,,51.0,
,NONPARAMETRIC TESTS,,SPATIAL CLUSTERING,,Nonparametric tests were developed and proposed to detect Spatial Clustering in populations with non-uniform densities.,,9.0,,51.0,
,CHILDHOOD LEUKEMIA,,SPATIAL CLUSTERING,,The study aims to detect Spatial Clustering of childhood leukemia cases in a defined population.,,9.0,,51.0,
,NN TEST,,SPATIAL CLUSTERING,,The NN test is a method applied to study and evaluate spatial clustering patterns.,,9.0,,51.0,
,DATA ENRICHMENT,,SPATIAL CLUSTERING,,Data enrichment is often needed to enhance the quality of spatial clustering by adding contextual information.,,8.0,,51.0,
,SPATIAL CLUSTERING,,UNIFORM DISTRIBUTION,,Spatial Clustering analyses often use the Uniform Distribution assumption to generate event locations for statistical evaluations.,,8.0,,51.0,
,CLUSTER FEATURES,,SPATIAL CLUSTERING,,Spatial clustering depends on identifying cluster features that describe patterns in the spatial domain.,,7.0,,51.0,
,INVERSE SAMPLING,,SPATIAL CLUSTERING,,"Inverse Sampling is an extension of the methods used in Spatial Clustering, expanding its application in statistical analysis.",,7.0,,51.0,
,ECOLOGY APPLICATIONS,,SPATIAL CLUSTERING,,"Spatial clustering techniques were applied and developed in the 1960s and 1970s, driven by ecology studies.",,6.0,,51.0,
,HENZE (1988),,SPATIAL CLUSTERING,,Henze's work is cited in relationship to spatial clustering techniques and advancements.,,6.0,,51.0,
